SETOR;SIGLA;CIDADE
NUCLEO DE CONTROLE E REGISTRO DE PATRIMONIO;NUCORP;João Pessoa
Núcleo de Cooperação com os Municípios;1-GRE-NUCOM;João Pessoa
Núcleo de Cooperação com os Municípios;2-GRE-NUCOM;Guarabira
Núcleo de Cooperação com os Municípios;9-GRE-NUCOM;Cajazeiras
Núcleo de Cooperação com os Municípios;14-GRE-NUCOM;Mamanguape
Núcleo de Cooperação com os Municípios;6-GRE-NUCOM;Patos
Núcleo de Cooperação com os Municípios;4-GRE-NUCOM;Cuité
Núcleo de Cooperação com os Municípios;8-GRE-NUCOM;Catolé do Rocha
Núcleo de Desenvolvimento da Escola e da Aprendizagem;2-GRE-NUDEA;Guarabira
Núcleo de Desenvolvimento da Escola e da Aprendizagem;5-GRE-NUDEA;Monteiro
Núcleo de Desenvolvimento da Escola e da Aprendizagem;1-GRE-NUDEA;João Pessoa
Núcleo de Desenvolvimento da Escola e da Aprendizagem;11-GRE-NUDEA;Princesa Isabel
Núcleo de Desenvolvimento da Escola e da Aprendizagem;6-GRE-NUDEA;Patos
Núcleo de Desenvolvimento da Escola e da Aprendizagem;8-GRE-NUDEA;Catolé do Rocha
Núcleo de Desenvolvimento da Escola e da Aprendizagem;9-GRE-NUDEA;Cajazeiras
Núcleo de Desenvolvimento da Escola e da Aprendizagem;3-GRE-NUDEA;Campina Grande
Núcleo de Desenvolvimento da Escola e da Aprendizagem;4-GRE-NUDEA;Cuité
Núcleo de Desenvolvimento da Escola e da Aprendizagem;14-GRE-NUDEA;Mamanguape
Núcleo de Desenvolvimento da Escola e da Aprendizagem;16-GRE-NUDEA;João Pessoa
Núcleo de Desenvolvimento e Protagonismo Estudantil;2-GRE-NUDPE;Guarabira
Núcleo de Desenvolvimento e Protagonismo Estudantil;1-GRE-NUDPE;João Pessoa
Núcleo de Desenvolvimento e Protagonismo Estudantil;14-GRE-NUDPE;Mamanguape
Núcleo de Desenvolvimento e Protagonismo Estudantil;6-GRE-NUDPE;Patos
NUCLEO DE GESTAO DE TRANSPORTE ESCOLAR;NUGTE;João Pessoa
Núcleo de Infraestrutura e Suporte de Tecnologia da Informação;6-GRE-NUTCI;Patos
Núcleo de Infraestrutura e Suporte de Tecnologia da Informação;1-GRE-NUTCI;João Pessoa
Núcleo de Infraestrutura e Suporte de Tecnologia da Informação;2-GRE-NUTCI;Guarabira
Núcleo de Infraestrutura e Suporte de Tecnologia da Informação;14-GRE-NUTCI;Mamanguape
Núcleo de Infraestrutura e Suporte de Tecnologia da Informação;9-GRE-NUTCI;Cajazeiras
NUCLEO DE MATERIAL DIDATICO;NUMAD;João Pessoa
NUCLEO DE MOVIMENTACAO DE PESSOAL;NUMOP;João Pessoa
Núcleo de Nutrição Escolar;NUNUE;João Pessoa
NUCLEO DE PRESTACAO DE CONTAS;NPC;João Pessoa
NUCLEO DE PRODUCAO GRAFICA;NUPROG;João Pessoa
NUCLEO DE SERVICOS GERAIS;NUSEG;João Pessoa
NUCLEO DE TECNOLOGIA EDUCACIONAL - JOAO PESSOA;NTE-JPA;João Pessoa
Ouvidoria;OUVID;João Pessoa
OUVIDORIA;OUVIDORIA;João Pessoa
POSSE;POSSE;João Pessoa
Programa Alfabetiza Mais Paraíba;PAMPB;João Pessoa
PROGRAMA DE INCLUSÃO ATRAVÉS DA MÚSICA E DAS ARTES;PRIMA;João Pessoa
PROGRAMA DE TECNOLOGIAS EDUCACIONAIS;PROINFO;João Pessoa
PROJETO FUNDESCOLA;PROFESC;João Pessoa
SECRETARIA ADMINISTRATIVA DA CIENCIA E TECNOLOGIA;SACT;João Pessoa
SECRETARIA EXECUTIVA DA CIENCIA E TECNOLOGIA;SECT;João Pessoa
SECRETARIA EXECUTIVA DA GESTAO PEDAGOGICA;SEGEP;João Pessoa
SECRETARIA EXECUTIVA DE ADMINISTRACAO DE SUPRIMENTOS E LOGISTICA;SEASL;João Pessoa
Secretaria Executiva de Cooperação com os Municípios;SECOM;João Pessoa
Subgerência da Gestão da Alimentação Escolar;SGGAE;João Pessoa
Subgerência de Acompanhamento das Prestação de Contas dos Convênios;SGPCC;João Pessoa
SUBGERENCIA DE ACOMPANHAMENTO E CONTROLE DA EXECUCAO DOS PROGRAMAS EDUCACIONAIS;SGPROG;João Pessoa
Subgerência de Acompanhamento e Controle de Contratos;SGCON;João Pessoa
